,time,th1,th2,th3,th4,th5,camera1,camera2
0,2023-01-19 13:46:43,0.24421058595180511,0.7990419864654541,-1.8062050978290003,-0.2078478972064417,0.8866748809814453,544,283
0,2023-01-19 13:46:54,0.24406075477600098,1.0243351459503174,-1.3417533079730433,-0.20703155199159795,0.8866284489631653,528,82
0,2023-01-19 13:48:53,0.24419745802879333,1.113703727722168,-1.2450535933123987,-0.2067626158343714,0.8866400718688965,500,56
0,2023-01-19 13:49:14,0.24481487274169922,2.0550496578216553,-0.28950435320009404,-0.20647842088808233,0.8865906596183777,35,39
0,2023-01-19 13:49:30,0.24471360445022583,1.9184197187423706,-0.4573429266559046,-0.20657378831972295,0.8865907192230225,91,32
0,2023-01-19 13:49:43,0.24471335113048553,1.925197720527649,-0.7247484366046351,-0.20675498643984014,0.8866633176803589,35,217
0,2023-01-19 13:49:59,0.2446833699941635,1.803405523300171,-0.6350510756122034,-0.20626670518984014,0.8865671753883362,136,48
0,2023-01-19 13:50:14,0.24475592374801636,1.9126864671707153,-0.5777609984027308,-0.20671111742128545,0.8865786790847778,60,96
0,2023-01-19 13:50:45,0.24482668936252594,1.8714137077331543,-1.290344540272848,-0.21020538011659795,0.8865603804588318,305,235
0,2023-01-19 13:51:02,0.24465610086917877,1.5713720321655273,-1.290457550679342,-0.20904571214784795,0.8865786790847778,220,319
0,2023-01-19 13:51:19,0.2448490709066391,1.8916512727737427,-0.9064906279193323,-0.20779830614198858,0.8865775465965271,303,235
0,2023-01-19 13:51:29,0.24484680593013763,1.8922420740127563,-1.0962603727923792,-0.20860129991640264,0.8865835666656494,59,440
0,2023-01-19 13:52:22,0.22891707718372345,0.7220908999443054,-2.091100041066305,-0.20852691331972295,0.886573076248169,304,235
